businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,clearbitQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"Empire Solar Solutions, LLC","empire solar solutions","4392","1","2393","2026-04-29","2026-07-28","Ancram | Mattituck | Selden | Ridge | Holbrook | East Hampton | Hampton Bays | Mastic Beach","Columbia | Suffolk | Queens | Nassau | Kings | Richmond | Bronx | Westchester","7237","Find official domain, then audit careers/jobs pages for detailed solar offers.","empire solar solutions","empiresolarny.com","https://empiresolarny.com","Empire Solar Solutions","","candidate_found",""
"Brooklyn SolarWorks, LLC","brooklyn solarworks","2998","1","1356","2026-05-20","2026-07-30","Queens | Brooklyn | MASPETH | BROOKLYN | Bayside | Flushing | Richmond Hill | Far Rockaway","Queens | Kings | Richmond | New York | Bronx","4126","Find official domain, then audit careers/jobs pages for detailed solar offers.","brooklyn solarworks","brooklynsolarworks.com","https://brooklynsolarworks.com","Brooklyn SolarWorks","","candidate_found",""
"Long Island Power Solutions","long island power solutions","2665","1","1273","2026-06-19","2026-07-30","Wading River | Rocky Point | Ridge | Riverhead | Medford | Selden | Yaphank | Sound Beach","Suffolk | Westchester | Nassau | Queens | Kings | Richmond | Bronx | Rockland","3877","Find official domain, then audit careers/jobs pages for detailed solar offers.","long island power solutions","","","","","no_official_domain_candidate",""
"Venture Home Solar, LLC","venture home solar","4327","1","1205","2026-06-17","2026-07-30","Shoreham | Shirley | East Hampton | Rocky Point | Manorville | Centereach | Farmingville | Westhampton","Suffolk | Richmond | Queens | Nassau | Kings | Bronx | New York | Westchester","3673","Find official domain, then audit careers/jobs pages for detailed solar offers.","venture home solar","","","","","no_official_domain_candidate",""
"NYS Essential Power","nys essential power","1150","1","1146","2026-05-12","2026-07-31","South New Berlin | Westhampton Beach | Mastic | East Hampton | Ronkonkoma | Centereach | Yaphank | Patchogue","Chenango | Suffolk | Cattaraugus | Nassau | Queens | Kings | Richmond | Bronx","3496","Find official domain, then audit careers/jobs pages for detailed solar offers.","nys essential power","","","","","no_official_domain_candidate",""
"New York State Solar Farm","new york state solar farm","1778","1","884","2026-04-18","2026-07-29","North Salem | Scarsdale | Tarrytown | Tuckahoe | White Plains | New Rochelle | Bronxville | Pleasantville","Westchester | Putnam | Rockland | Orange | Sullivan | Delaware | Ulster | Dutchess","2710","Find official domain, then audit careers/jobs pages for detailed solar offers.","new york state solar farm","nyssf.com","https://nyssf.com","New York State Solar Farm","","candidate_found",""
"Mpower Solar LLC","mpower solar","661","1","632","2025-09-18","2026-07-08","Fresh Meadows | Jamaica | Whitestone | Richmond Hill | South Richmond Hill | Ozone Park | Bayside | Oakland Gardens","Queens | Kings | Richmond | Bronx | Westchester | Rockland","1954","Find official domain, then audit careers/jobs pages for detailed solar offers.","mpower solar","mpowersolar.com","https://mpowersolar.com","Mpower Solar","","candidate_found",""
"Tesla Energy Operations Inc.","tesla energy operations","17514","1","490","2026-07-04","2026-07-31","Medford | Port Jefferson Station | Patchogue | Center Moriches | Centereach | Mastic Beach | Ridge | Rocky Point","Suffolk | Putnam | Nassau | Queens | Richmond | Bronx | Westchester | Rockland","1528","Find official domain, then audit careers/jobs pages for detailed solar offers.","tesla energy operations","","","","","no_official_domain_candidate",""
"Voltaic Solaire","voltaic solaire","357","1","283","2026-06-02","2026-07-06","Jamaica | Saint Albans | South Ozone Park | Howard Beach | Kew Gardens | South Richmond Hill | Richmond Hill | Queens Village","Queens | Kings | Richmond | Bronx | New York | Westchester | Rockland | Orange","907","Find official domain, then audit careers/jobs pages for detailed solar offers.","voltaic solaire","voltaicsolaire.com","https://voltaicsolaire.com","Voltaic Solaire","","candidate_found",""
"Onsite Energy, Inc.","onsite energy","220","1","211","2026-07-21","2026-07-13","Jamaica | Glen Oaks | Fresh Meadows | Springfield Gardens | Hollis | South Ozone Park | Ridgewood | Brooklyn","Queens | Kings | Richmond | Bronx | Westchester | Rockland | Putnam | Orange","691","Find official domain, then audit careers/jobs pages for detailed solar offers.","onsite energy","onsiteenergyexpo.com","https://onsiteenergyexpo.com","Onsite Energy","","candidate_found",""
"Lighthouse Solar (dba for Sun Source Technologies)","lighthouse solar dba for sun source technologies","491","1","176","2026-02-19","2026-07-24","Garrison | Cold Spring | Carmel | Croton on Hudson | South Salem | Katonah | Brewster | Valley Cottage","Putnam | Westchester | Rockland | Sullivan | Orange | Ulster | Dutchess | Greene","586","Find official domain, then audit careers/jobs pages for detailed solar offers.","lighthouse solar dba for sun source technologies","","","","","no_official_domain_candidate",""
"Solar Done Right (dba for J Synergy Solar LLC)","solar done right dba for j synergy solar","247","1","144","2026-06-09","2026-07-30","Flushing | Queens | Corona | East Meadow | Oyster Bay | Inwood | West Hempstead | Syosset","Queens | Nassau | Kings | Richmond | Bronx | Rockland | Suffolk","490","Find official domain, then audit careers/jobs pages for detailed solar offers.","solar done right dba for synergy solar","","","","","no_official_domain_candidate",""
"Halco Renewable Energy (dba for Halcyon)","halco renewable energy dba for halcyon","577","1","127","2026-06-11","2026-07-24","Blossvale | Camden | Cleveland | Canandaigua | Cortland | Cincinnatus | Ithaca | Syracuse","Oneida | Ontario | Cortland | Tompkins | Onondaga | Madison | Wayne | Oswego","439","Find official domain, then audit careers/jobs pages for detailed solar offers.","halco renewable energy dba for halcyon","","","","","no_official_domain_candidate",""
"Advanced Solar Solutions","advanced solar solutions","75","1","75","2026-05-29","2026-07-30","Flushing | Elmhurst | Hollis | West Hempstead | Fresh Meadows | Oakland Gardens | South Richmond Hill | Bayside","Queens | Nassau | Kings | Bronx","283","Find official domain, then audit careers/jobs pages for detailed solar offers.","advanced solar solutions","advancedsolarpermits.com","https://advancedsolarpermits.com","Advanced Solar Solutions","","candidate_found",""
"Element Energy LLC","element energy","68","1","55","2025-12-09","2026-07-20","Stony Brook | Patchogue | Hampton Bays | Coram | Sag Harbor | Mattituck | Medford | Peconic","Suffolk | Nassau | Westchester","223","Find official domain, then audit careers/jobs pages for detailed solar offers.","element energy","elementenergy.com","https://elementenergy.com","Element Energy","","candidate_found",""
"High Peaks Solar","high peaks solar","217","1","28","2025-10-18","2026-05-28","Middletown | Walton | Schoharie | Tannersville | Greenville | Cornwallville | Berne | Coeymans Hollow","Orange | Delaware | Schoharie | Greene | Albany | Columbia | Rensselaer | Dutchess","142","Find official domain, then audit careers/jobs pages for detailed solar offers.","high peaks solar","highpeakssolar.com","https://highpeakssolar.com","High Peaks Solar","","candidate_found",""
"National Solar Technologies","national solar technologies","25","1","19","2026-05-08","2026-07-08","Stamford | Kingston | Delmar | Wilmington | East Syracuse | Red Creek | Oxford | Depew","Delaware | Ulster | Albany | Essex | Onondaga | Cayuga | Chenango | Erie","90","Find official domain, then audit careers/jobs pages for detailed solar offers.","national solar technologies","nstsolar.com","https://nstsolar.com","National Solar Technologies","","candidate_found",""
"Bliss Solar, LLC","bliss solar","13","1","10","2026-05-28","2025-08-12","Corona | Jamaica | Ridgewood | Queens Village | Ozone Park | Astoria | Maspeth | Jackson Heights","Queens | Bronx | Westchester","51","Find official domain, then audit careers/jobs pages for detailed solar offers.","bliss solar","blisssolar.com","https://blisssolar.com","Bliss Solar","","candidate_found",""
"G&S Solar (dba for G&S Operations LLC)","g s solar dba for g s operations","42","1","6","2025-01-30","2025-06-25","Ridgewood | Yonkers | Scarsdale | Rye | New Rochelle | West Harrison | Elmsford | Hastings on Hudson","Queens | Westchester","68","Find official domain, then audit careers/jobs pages for detailed solar offers.","solar dba for operations","","","","","no_official_domain_candidate",""
"Plankton Energy","plankton energy","5","1","5","2026-04-02","2026-05-05","New York | Bronx | Elmsford | Poughkeepsie","New York | Bronx | Westchester | Dutchess","28","Find official domain, then audit careers/jobs pages for detailed solar offers.","plankton energy","planktonenergy.com","https://planktonenergy.com","Plankton Energy","","candidate_found",""
"Green Power Developers LLC","green power developers","6","1","3","2025-03-25","2026-07-28","Middle Village | Ridgewood | Bronx | Central Valley | Suffern | Monsey","Queens | Bronx | Orange | Rockland","23","Find official domain, then audit careers/jobs pages for detailed solar offers.","green power developers","","","","","no_official_domain_candidate",""
"Solect Energy Development LLC","solect energy development","3","1","3","2025-05-16","2026-07-01","New Rochelle | Ballston Spa | Latham","Westchester | Saratoga | Albany","20","Find official domain, then audit careers/jobs pages for detailed solar offers.","solect energy development","","","","","no_official_domain_candidate",""
"ForeFront Power, LLC","forefront power","27","1","1","2025-01-15","2022-08-08","East Elmhurst | Otisville | Westtown | Chester | Ellenville | Dover Plains | Schaghticoke | Altamont","Queens | Orange | Ulster | Dutchess | Rensselaer | Albany | Montgomery | Jefferson","38","Find official domain, then audit careers/jobs pages for detailed solar offers.","forefront power","forefrontpower.com","https://forefrontpower.com","ForeFront Power","","candidate_found",""
"Brookfield Renewable DG US Operations, LLC","brookfield renewable dg us operations","11","1","1","2023-11-29","2026-06-02","Hudson | Schenectady | Waterville | Cortland | Forestville | Fredonia","Columbia | Schenectady | Oneida | Cortland | Chautauqua","22","Find official domain, then audit careers/jobs pages for detailed solar offers.","brookfield renewable operations","","","","","no_official_domain_candidate",""
"CSG PV I LLC","csg pv i","6","1","1","2023-01-26","2026-01-26","Canton | Copenhagen | Schenectady | Rome | Oswego | Albion","St Lawrence | Lewis | Schenectady | Oneida | Oswego | Orleans","17","Find official domain, then audit careers/jobs pages for detailed solar offers.","csg","forte.net","https://forte.net","CSG Forte","","candidate_found",""
"RWE Clean Energy Asset Holdings Inc.","rwe clean energy asset holdings","18","1","0","2022-06-10","2023-02-09","White Plains | Rye | Putnam Valley | Valhalla | Ardsley | Mohegan Lake | Warwick | Kingston","Westchester | Putnam | Orange | Ulster | Columbia | Dutchess | Franklin","26","Find official domain, then audit careers/jobs pages for detailed solar offers.","rwe clean energy asset","","","","","no_official_domain_candidate",""
"212 Solar Development LLC, New Leaf Energy","212 solar development new leaf energy","18","1","0","2021-09-08","2020-09-30","Goshen | Altamont | Whitehall | Amsterdam | North Creek | Champlain | Lisbon | Johnstown","Orange | Albany | Washington | Montgomery | Warren | Clinton | St Lawrence | Fulton","26","Find official domain, then audit careers/jobs pages for detailed solar offers.","solar development new leaf energy","","","","","no_official_domain_candidate",""
"Ecogy Solar LLC","ecogy solar","9","1","0","2022-12-01","2025-08-12","Staten Island | Ossining | White Plains | Yorktown Heights | Briarcliff Manor | Croton on Hudson","Richmond | Westchester","17","Find official domain, then audit careers/jobs pages for detailed solar offers.","ecogy solar","","","","","no_official_domain_candidate",""
"SUNRUN, INC","sunrun","24451","0","6783","2025-12-11","2026-07-28","Calverton | Mastic | Selden | Center Moriches | Montauk | Coram | Southampton | Lake Grove","Suffolk | Westchester | Queens | Orange | Nassau | Kings | Richmond | Bronx","20399","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunrun","sunrun.com","https://sunrun.com","Sunrun","","candidate_found",""
"IGS Solar, LLC","igs solar","6697","0","3790","2025-12-12","2026-07-28","Staten Island | New Hyde Park | Jamaica | Queens Village | South Richmond Hill | Richmond Hill | South Ozone Park | Little Neck","Richmond | Nassau | Queens | Kings | Bronx | Westchester | Rockland | Putnam","11420","Find official domain, then audit careers/jobs pages for detailed solar offers.","igs solar","","","","","no_official_domain_candidate",""
"PlugPV, LLC","plugpv","5529","0","3461","2026-05-21","2026-07-30","Geneva | Astoria | Cambria Heights | Bronx | Port Chester | Hawthorne | Scarsdale | White Plains","Seneca | Queens | Bronx | Westchester | Putnam | Rockland | Dutchess | Orange","10433","Find official domain, then audit careers/jobs pages for detailed solar offers.","plugpv","plugpv.com","https://plugpv.com","PlugPV","","candidate_found",""
"Infinity Solar Systems LLC","infinity solar systems","3075","0","1923","2026-03-13","2026-07-21","Port Chester | Glen Oaks | Howard Beach | Bayside | Queens Village | Astoria | Brooklyn | Staten Island","Westchester | Queens | Kings | Richmond | Bronx | Putnam | Rockland | Orange","5819","Find official domain, then audit careers/jobs pages for detailed solar offers.","infinity solar systems","","","","","no_official_domain_candidate",""
"Momentum Solar (dba for Pro Custom Solar LLC)","momentum solar dba for pro custom solar","3363","0","1824","2026-06-15","2026-07-17","QUEENS | Mastic Beach | South Richmond Hill | Howard Beach | Jamaica | Ronkonkoma | Massapequa | Deer Park","Queens | Suffolk | Nassau | Kings | Richmond | Bronx | Westchester | Rockland","5522","Find official domain, then audit careers/jobs pages for detailed solar offers.","momentum solar dba for pro custom solar","","","","","no_official_domain_candidate",""
"SuNation Solar Systems, Inc.","sunation solar systems","4378","0","1304","2026-06-17","2026-07-30","Cutchogue | Holtsville | Ronkonkoma | East Hampton | Medford | Hampton Bays | Shirley | Center Moriches","Suffolk | Queens | Nassau | Kings | Richmond | Bronx | Westchester | Rockland","3962","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunation solar systems","","","","","no_official_domain_candidate",""
"Kasselman Solar LLC","kasselman solar","3862","0","1192","2026-06-08","2026-07-24","Centereach | White Plains | Yonkers | Mamaroneck | Dobbs Ferry | Scarsdale | New Rochelle | Pelham","Suffolk | Westchester | Rockland | Putnam | Orange | Sullivan | Delaware | Greene","3626","Find official domain, then audit careers/jobs pages for detailed solar offers.","kasselman solar","kasselmansolar.com","https://kasselmansolar.com","Kasselman Solar","","candidate_found",""
"TRINITY SOLAR","trinity solar","2196","0","940","2026-01-23","2026-03-26","Shirley | Rocky Point | Holbrook | Southampton | Medford | Lake Grove | Centereach | Patchogue","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","2870","Find official domain, then audit careers/jobs pages for detailed solar offers.","trinity solar","trinity-solar.com","https://trinity-solar.com","Trinity Solar","","candidate_found",""
"SUNPOWER CAPITAL LLC","sunpower capital","10904","0","842","2024-07-10","2025-08-14","Centereach | Peconic | Sound Beach | Farmingville | Patchogue | Lake Grove | Water Mill | Ronkonkoma","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","2576","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunpower capital","","","","","no_official_domain_candidate",""
"EmPower Solar","empower solar","2356","0","709","2025-10-28","2026-03-17","Sayville | Holbrook | Sag Harbor | Greenport | Coram | East Hampton | Cutchogue | Westhampton Beach","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","2177","Find official domain, then audit careers/jobs pages for detailed solar offers.","empower solar","empower-solar.com","https://empower-solar.com","EmPower Solar","","candidate_found",""
"Sunnova Energy Corp.","sunnova energy","2052","0","661","2025-05-21","2026-02-11","Medford | Selden | Holtsville | Rocky Point | Mattituck | Brentwood | Islandia | Sayville","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester | Rockland","2033","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunnova energy","","","","","no_official_domain_candidate",""
"3rd ROC Solar LLC","3rd roc solar","810","0","558","2026-03-11","2026-06-30","Argyle | Trumansburg | Williamson | Newark | Canandaigua | Ontario | Webster | Baldwinsville","Washington | Tompkins | Wayne | Ontario | Monroe | Onondaga | Chemung | Cayuga","1724","Find official domain, then audit careers/jobs pages for detailed solar offers.","roc solar","","","","","no_official_domain_candidate",""
"Surf Clean Energy Inc","surf clean energy","786","0","440","2026-06-24","2026-07-21","Medford | Ronkonkoma | Centereach | Coram | Port Jefferson Station | Middle Island | Sound Beach | Mastic Beach","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester | Schoharie","1370","Find official domain, then audit careers/jobs pages for detailed solar offers.","surf clean energy","surfcleanenergy.com","https://surfcleanenergy.com","Surf Clean Energy","","candidate_found",""
"HARVEST POWER","harvest power","1215","0","395","2026-04-21","2026-07-22","Rocky Point | Holbrook | Centereach | Patchogue | East Hampton | Selden | Farmingville | Ronkonkoma","Suffolk | Queens | Nassau | Kings | Richmond | Bronx | Westchester | Orange","1235","Find official domain, then audit careers/jobs pages for detailed solar offers.","harvest power","harvestpower.com","https://harvestpower.com","Harvest Power","","candidate_found",""
"CIR Electrical Construction Corp.","cir electrical construction","1257","0","329","2026-03-31","2026-07-01","Castleton on Hudson | Webster | Smyrna | Macedon | Stanley | Walworth | Tonawanda | Buffalo","Rensselaer | Monroe | Chenango | Wayne | Ontario | Erie | Niagara | Genesee","1037","Find official domain, then audit careers/jobs pages for detailed solar offers.","cir electrical construction","","","","","no_official_domain_candidate",""
"Hytech Solar Inc","hytech solar","568","0","272","2026-04-25","2026-06-29","Mastic Beach | Mastic | Amagansett | Mattituck | Ridge | Holtsville | Coram | Ronkonkoma","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester","866","Find official domain, then audit careers/jobs pages for detailed solar offers.","hytech solar","hytechsolar.com","https://hytechsolar.com","Hytech Solar","","candidate_found",""
"SOLANTA CORP","solanta","364","0","218","2026-05-08","2026-07-15","Astoria | East Meadow | Hicksville | Glen Cove | New Hyde Park | Jamaica | Fresh Meadows | South Richmond Hill","Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester | Rockland","704","Find official domain, then audit careers/jobs pages for detailed solar offers.","solanta","solanta.com","https://solanta.com","Solanta","","candidate_found",""
"Renovus Energy, Inc","renovus energy","1355","0","203","2026-06-11","2026-07-29","Livingston Manor | Cooperstown | Treadwell | Bloomville | Hamden | East Berne | Worcester | Walton","Sullivan | Otsego | Delaware | Albany | Tompkins | Ulster | Saratoga | Fulton","659","Find official domain, then audit careers/jobs pages for detailed solar offers.","renovus energy","renovus.tech","https://renovus.tech","RENOVUS Energy Tech","","candidate_found",""
"SunCommon (dba for SolarCommunities Inc.)","suncommon dba for solarcommunities","821","0","202","2025-12-22","2026-02-06","Mahopac | Cold Spring | Brewster | Garrison | Carmel | Putnam Valley | Warwick | Highland Mills","Putnam | Orange | Sullivan | Rockland | Dutchess | Greene | Ulster | Delaware","656","Find official domain, then audit careers/jobs pages for detailed solar offers.","suncommon dba for solarcommunities","","","","","no_official_domain_candidate",""
"J.B.I Construction Group INC?","j b i construction group","275","0","196","2025-10-10","2026-06-16","South Richmond Hill | Fresh Meadows | Hollis | Howard Beach | Valley Stream | Jamaica | Queens Village | Glen Oaks","Queens | Nassau | Kings | Richmond | Bronx","638","Find official domain, then audit careers/jobs pages for detailed solar offers.","construction group","4110constructiongroup.com","https://4110constructiongroup.com","41:10 Construction Group","","candidate_found",""
"Amergy Solar Inc.","amergy solar","643","0","195","2026-03-13","2026-06-02","Queens | Flushing | Hampton Bays | Fresh Meadows | Oakland Gardens | Little Neck | Bayside | Whitestone","Queens | Suffolk | Kings | Richmond | Bronx | Westchester","635","Find official domain, then audit careers/jobs pages for detailed solar offers.","amergy solar","amergysolar.com","https://amergysolar.com","Amergy Solar","","candidate_found",""
"AEC Energy Corp./American Energy Care","aec energy american energy care","595","0","193","2026-02-09","2026-07-24","Bronxville | Carmel | Garrison | West Coxsackie | Westerlo | Athens | Jewett | Summit","Westchester | Putnam | Greene | Albany | Schoharie | Dutchess | Delaware | Otsego","629","Find official domain, then audit careers/jobs pages for detailed solar offers.","aec energy american energy care","","","","","no_official_domain_candidate",""
"Quest Home Improvement Inc. dba Quest Solar","quest home improvement dba quest solar","235","0","171","2025-07-22","2026-02-06","Richmond Hill | Ozone Park | Jamaica | Hollis | Fresh Meadows | Howard Beach | Bellerose | South Richmond Hill","Queens | Kings | Richmond | Bronx | New York | Westchester | Rockland | Putnam","563","Find official domain, then audit careers/jobs pages for detailed solar offers.","quest home improvement dba quest solar","","","","","no_official_domain_candidate",""
"Patriot Energy Solutions Corp.","patriot energy solutions","373","0","161","2026-01-09","2026-02-24","Lake Grove | Medford | Shirley | Ronkonkoma | Port Jefferson Station | Farmingville | East Moriches | Moriches","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","533","Find official domain, then audit careers/jobs pages for detailed solar offers.","patriot energy solutions","patriotenergysolution.com","https://patriotenergysolution.com","Patriot Energy Solutions","","candidate_found",""
"SunBlue Energy (dba for Florenton River LLC)","sunblue energy dba for florenton river","599","0","139","2026-03-18","2026-06-17","Jamaica | Ridgewood | Cambria Heights | Queens Village | Astoria | Sunnyside | Brooklyn | Staten Island","Queens | Kings | Richmond | Bronx | New York | Westchester | Rockland | Putnam","467","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunblue energy dba for florenton river","","","","","no_official_domain_candidate",""
"Sea Bright Solar","sea bright solar","468","0","127","2026-06-24","2026-07-20","Staten Island | Flushing | Bayside | Little Neck | Oakland Gardens | Jamaica | Ozone Park | Queens Village","Richmond | Queens | Kings | Bronx | New York | Westchester | Orange | Sullivan","431","Find official domain, then audit careers/jobs pages for detailed solar offers.","sea bright solar","seabrightsolar.com","https://seabrightsolar.com","Sea Bright Solar","","candidate_found",""
"Apex Energy Tek LLC","apex energy tek","1760","0","118","2026-02-04","2026-05-05","Hartsdale | Scarsdale | Mount Vernon | Mamaroneck | New Rochelle | Yonkers | Tarrytown | White Plains","Westchester | Rockland | Putnam | Orange | Sullivan | Albany | Ulster | Otsego","404","Find official domain, then audit careers/jobs pages for detailed solar offers.","apex energy tek","","","","","no_official_domain_candidate",""
"Rivertown Solar LLC","rivertown solar","116","0","116","2026-06-29","2026-07-30","Yonkers | Far Rockaway | Fresh Meadows | Ozone Park | Jamaica | South Ozone Park | Hollis | Brooklyn","Westchester | Queens | Kings | Bronx | Dutchess | Rockland","398","Find official domain, then audit careers/jobs pages for detailed solar offers.","rivertown solar","","","","","no_official_domain_candidate",""
"Nickels Energy Solutions, LLC","nickels energy solutions","320","0","110","2026-07-16","2026-07-21","Phoenix | Elmsford | Lee Center | Lowville | Camden | Fayetteville | Chittenango | Baldwinsville","Oswego | Westchester | Oneida | Lewis | Onondaga | Madison | Cayuga | Cortland","380","Find official domain, then audit careers/jobs pages for detailed solar offers.","nickels energy solutions","","","","","no_official_domain_candidate",""
"Leviathan Solar Inc","leviathan solar","110","0","110","2026-01-30","2026-05-11","Patchogue | Ronkonkoma | Port Jefferson Station | Holbrook | Farmingville | Middle Island | Westhampton | Selden","Suffolk | Nassau","380","Find official domain, then audit careers/jobs pages for detailed solar offers.","leviathan solar","","","","","no_official_domain_candidate",""
"Green Logic LLC","green logic","943","0","104","2026-02-20","2026-07-28","Water Mill | Center Moriches | Mattituck | Lake Grove | Patchogue | Shelter Island | Hampton Bays | East Hampton","Suffolk | Nassau | Queens | Kings | New York | Bronx | Westchester","362","Find official domain, then audit careers/jobs pages for detailed solar offers.","green logic","green-logic.net","https://green-logic.net","Green logic","","candidate_found",""
"Green Hybrid Energy Solutions","green hybrid energy solutions","288","0","104","2026-03-26","2026-07-27","Southampton | Astoria | Brooklyn | Bronx | Staten Island | New York | Hartsdale | Irvington","Suffolk | Queens | Kings | Bronx | Richmond | New York | Westchester | Putnam","362","Find official domain, then audit careers/jobs pages for detailed solar offers.","green hybrid energy solutions","ghessolar.com","https://ghessolar.com","Green Hybrid Energy Solutions,","","candidate_found",""
"Alternative Power Solutions of NY, LLC","alternative power solutions of ny","518","0","94","2025-12-17","2026-06-12","Arkville | East Durham | East Berne | Kingston | Milton | Valatie | Pine Plains | Canaan","Delaware | Greene | Albany | Ulster | Columbia | St Lawrence | Essex | Jefferson","332","Find official domain, then audit careers/jobs pages for detailed solar offers.","alternative power solutions","altpowersolution.com","https://altpowersolution.com","Alternative Power Solutions","","candidate_found",""
"Tri-State Solar Services LLC","tri state solar services","133","0","82","2025-12-09","2026-05-07","Bayside | Howard Beach | Queens Village | Ozone Park | Saint Albans | Bellerose | Staten Island | Bronx","Queens | Richmond | Bronx | New York | Westchester | Rockland | Putnam | Sullivan","296","Find official domain, then audit careers/jobs pages for detailed solar offers.","tri state solar services","tristatesolarservices.com","https://tristatesolarservices.com","Tri State Solar","","candidate_found",""
"Solar Pro Inc","solar pro","77","0","77","2026-04-27","2026-06-22","New Hyde Park | Richmond Hill | Flushing | Jamaica | South Ozone Park | College Point | Floral Park | Brooklyn","Nassau | Queens | Kings | Bronx | Rockland | Richmond | Saratoga","281","Find official domain, then audit careers/jobs pages for detailed solar offers.","solar pro","solartexasus.com","https://solartexasus.com","SOLAR PRO","","candidate_found",""
"My Solar Grid","my solar grid","692","0","70","2025-09-04","2025-12-05","Trumansburg | Brooklyn | Tarrytown | Dobbs Ferry | Cold Spring | Pound Ridge | Armonk | Briarcliff Manor","Schuyler | Kings | Westchester | Putnam | Orange | Sullivan | Rockland | Ulster","260","Find official domain, then audit careers/jobs pages for detailed solar offers.","solar grid","solargridstorage.com","https://solargridstorage.com","Solar Grid Storage","","candidate_found",""
"Integrity Solar Solutions, LLC","integrity solar solutions","194","0","70","2026-01-21","2026-03-03","Fresh Meadows | Jamaica | Brooklyn | Bronx | Pelham | Rye | Port Chester | Bronxville","Queens | Kings | Bronx | Westchester | Rockland | Putnam | Orange | Sullivan","260","Find official domain, then audit careers/jobs pages for detailed solar offers.","integrity solar solutions","integritysolarsolutions.com","https://integritysolarsolutions.com","Integrity Solar Solutions","","candidate_found",""
"Finger Lakes Power Systems LLC DBA QwikSolar","finger lakes power systems dba qwiksolar","409","0","68","2026-04-23","2026-07-13","Romulus | Himrod | Geneva | Canandaigua | Newark | Auburn | Newfield | Clyde","Seneca | Yates | Ontario | Wayne | Cayuga | Tompkins | Chemung | Onondaga","254","Find official domain, then audit careers/jobs pages for detailed solar offers.","finger lakes power systems dba qwiksolar","","","","","no_official_domain_candidate",""
"Greenpoint Solar & Electrical, Inc.","greenpoint solar electrical","68","0","68","2026-03-31","2026-07-27","Mount Vernon | Larchmont | Scarsdale | Yonkers | Pelham | Chappaqua | Katonah | Mohegan Lake","Westchester | Rockland | Orange | Sullivan | Ulster | Dutchess | Albany | Rensselaer","254","Find official domain, then audit careers/jobs pages for detailed solar offers.","greenpoint solar electrical","","","","","no_official_domain_candidate",""
"Albany Solar Solutions L.L.C.","albany solar solutions","164","0","66","2025-09-26","2026-07-28","Gilboa | Medusa | Cobleskill | Jewett | Schoharie | Shokan | Ravena | Altamont","Schoharie | Albany | Greene | Ulster | Otsego | Columbia | Dutchess | Rensselaer","248","Find official domain, then audit careers/jobs pages for detailed solar offers.","albany solar solutions","albanysolarsolutions.com","https://albanysolarsolutions.com","Albany Solar Saves!","","candidate_found",""
"SI Solar (dba for Ficazzola Consulting)","si solar dba for ficazzola consulting","165","0","65","2026-05-02","2026-06-30","Springfield Gardens | Brooklyn | Staten Island | Monroe | Highland Mills | Port Jervis","Queens | Kings | Richmond | Orange","245","Find official domain, then audit careers/jobs pages for detailed solar offers.","solar dba for ficazzola consulting","","","","","no_official_domain_candidate",""
"Hudson River Renewables","hudson river renewables","150","0","65","2026-04-28","2026-07-24","Germantown | Carmel | Mahopac | Pomona | Warwick | Cornwall on Hudson | Rensselaerville | Saugerties","Columbia | Putnam | Rockland | Orange | Albany | Ulster | Greene | Delaware","245","Find official domain, then audit careers/jobs pages for detailed solar offers.","hudson river renewables","","","","","no_official_domain_candidate",""
"Sunrise Energy Corp.","sunrise energy","330","0","64","2026-03-12","2026-07-09","Medford | Selden | Miller Place | Ronkonkoma | Centereach | Patchogue | East Moriches | Brentwood","Suffolk | Nassau","242","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunrise energy","sunriseenergy.com.co","https://sunriseenergy.com.co","Sunrise Energy","","candidate_found",""
"Paradise Energy Solutions, LLC","paradise energy solutions","276","0","61","2026-05-06","2026-06-30","Middletown | Cuddebackville | Port Jervis | New Windsor | Warwick | Pine Island | Wallkill | Washingtonville","Orange | Ulster | Otsego | Greene | Dutchess | Schoharie | Sullivan | Columbia","233","Find official domain, then audit careers/jobs pages for detailed solar offers.","paradise energy solutions","","","","","no_official_domain_candidate",""
